Name,Year of release,Rating,Genre,imdb Url,votes
Future Man,(2017– ),7.9,"
Action, Adventure, Comedy            ",http://www.imdb.com/title/tt4975856/?ref_=adv_li_tt,"13,442"
Deadpool 2,(2018),7.8,"
Action, Adventure, Comedy            ",http://www.imdb.com/title/tt5463162/?ref_=adv_li_tt,"343,877"
Schitt's Creek,(2015– ),8.1,"
Comedy            ",http://www.imdb.com/title/tt3526078/?ref_=adv_li_tt,"14,569"
Crazy Rich Asians,(2018),7,"
Comedy, Romance            ",http://www.imdb.com/title/tt3104988/?ref_=adv_li_tt,"76,519"
How I Met Your Mother,(2005–2014),8.3,"
Comedy, Romance            ",http://www.imdb.com/title/tt0460649/?ref_=adv_li_tt,"527,228"
Aladdin,(2019),NA,"
Adventure, Comedy, Family            ",http://www.imdb.com/title/tt6139732/?ref_=adv_li_tt,NA
Stan & Ollie,(2018),7.6,"
Biography, Comedy, Drama            ",http://www.imdb.com/title/tt3385524/?ref_=adv_li_tt,"5,645"
Parks and Recreation,(2009–2015),8.6,"
Comedy            ",http://www.imdb.com/title/tt1266020/?ref_=adv_li_tt,"169,145"
The Grinch,(2018),6.3,"
Animation, Comedy, Family            ",http://www.imdb.com/title/tt2709692/?ref_=adv_li_tt,"21,874"
A Million Little Things,(2018– ),7.8,"
Comedy, Drama            ",http://www.imdb.com/title/tt7608248/?ref_=adv_li_tt,"3,882"
Good Girls,(2018– ),7.9,"
Comedy, Crime, Drama            ",http://www.imdb.com/title/tt6474378/?ref_=adv_li_tt,"11,009"
Letterkenny,(2016– ),8.4,"
Comedy            ",http://www.imdb.com/title/tt4647692/?ref_=adv_li_tt,"4,876"
The Punisher,(2017– ),8.6,"
Action, Adventure, Crime            ",http://www.imdb.com/title/tt5675620/?ref_=adv_li_tt,"132,557"
Glass,(2019),7,"
Drama, Sci-Fi, Thriller            ",http://www.imdb.com/title/tt6823368/?ref_=adv_li_tt,"56,379"
Sex Education,(2019– ),8.5,"
Comedy, Drama            ",http://www.imdb.com/title/tt7767422/?ref_=adv_li_tt,"32,041"
Game of Thrones,(2011– ),9.5,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt0944947/?ref_=adv_li_tt,"1,406,544"
True Detective,(2014– ),9,"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt2356777/?ref_=adv_li_tt,"424,344"
Bohemian Rhapsody,(2018),8.2,"
Biography, Drama, Music            ",http://www.imdb.com/title/tt1727824/?ref_=adv_li_tt,"231,256"
Vikings,(2013– ),8.6,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt2306299/?ref_=adv_li_tt,"323,777"
You,(2018– ),8,"
Crime, Drama, Romance            ",http://www.imdb.com/title/tt7335184/?ref_=adv_li_tt,"40,680"
I Am the Night,(2019– ),7.6,"
Drama, Mystery            ",http://www.imdb.com/title/tt7186588/?ref_=adv_li_tt,742
Green Book,(2018),8.3,"
Biography, Comedy, Drama            ",http://www.imdb.com/title/tt6966692/?ref_=adv_li_tt,"50,378"
The Favourite,(2018),7.9,"
Biography, Comedy, Drama            ",http://www.imdb.com/title/tt5083738/?ref_=adv_li_tt,"42,829"
A Star Is Born,(2018),7.9,"
Drama, Music, Romance            ",http://www.imdb.com/title/tt1517451/?ref_=adv_li_tt,"168,167"
Once Upon a Time in Hollywood,(2019),NA,"
Comedy, Drama            ",http://www.imdb.com/title/tt7131622/?ref_=adv_li_tt,NA
Serenity,(2019),5.1,"
Drama, Thriller            ",http://www.imdb.com/title/tt6476140/?ref_=adv_li_tt,"2,774"
Roma,(2018),8,"
Drama            ",http://www.imdb.com/title/tt6155172/?ref_=adv_li_tt,"68,106"
The Orville,(2017– ),7.9,"
Adventure, Comedy, Drama            ",http://www.imdb.com/title/tt5691552/?ref_=adv_li_tt,"41,038"
Titans,(I) (2018– ),8.2,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt1043813/?ref_=adv_li_tt,"27,508"
The Walking Dead,(2010– ),8.3,"
Drama, Horror, Sci-Fi            ",http://www.imdb.com/title/tt1520211/?ref_=adv_li_tt,"770,086"
Outlander,(2014– ),8.5,"
Drama, Fantasy, Romance            ",http://www.imdb.com/title/tt3006802/?ref_=adv_li_tt,"88,359"
Vice,(I) (2018),7.1,"
Biography, Comedy, Drama            ",http://www.imdb.com/title/tt6266538/?ref_=adv_li_tt,"27,002"
Widows,(2018),7.2,"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt4218572/?ref_=adv_li_tt,"37,251"
IO,(2019),4.7,"
Adventure, Drama, Romance            ",http://www.imdb.com/title/tt3256226/?ref_=adv_li_tt,"16,882"
Joker,(2019),NA,"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt7286456/?ref_=adv_li_tt,NA
Black Mirror,(2011– ),8.9,"
Drama, Sci-Fi, Thriller            ",http://www.imdb.com/title/tt2085059/?ref_=adv_li_tt,"288,030"
Grey's Anatomy,(2005– ),7.6,"
Drama, Romance            ",http://www.imdb.com/title/tt0413573/?ref_=adv_li_tt,"206,088"
Shameless,(2011– ),8.7,"
Comedy, Drama            ",http://www.imdb.com/title/tt1586680/?ref_=adv_li_tt,"164,152"
Russian Doll,(2019– ),8.1,"
Comedy, Drama, Mystery            ",http://www.imdb.com/title/tt7520794/?ref_=adv_li_tt,"6,887"
Supernatural,(2005– ),8.5,"
Drama, Fantasy, Horror            ",http://www.imdb.com/title/tt0460681/?ref_=adv_li_tt,"345,088"
Bird Box,(2018),6.7,"
Drama, Horror, Sci-Fi            ",http://www.imdb.com/title/tt2737304/?ref_=adv_li_tt,"175,464"
Star Trek: Discovery,(2017– ),7.4,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt5171438/?ref_=adv_li_tt,"59,645"
American Crime Story,(2016– ),8.5,"
Biography, Crime, Drama            ",http://www.imdb.com/title/tt2788432/?ref_=adv_li_tt,"62,798"
BlacKkKlansman,(2018),7.5,"
Biography, Crime, Drama            ",http://www.imdb.com/title/tt7349662/?ref_=adv_li_tt,"99,690"
Riverdale,(2016– ),7.5,"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt5420376/?ref_=adv_li_tt,"78,277"
Peaky Blinders,(2013– ),8.8,"
Crime, Drama            ",http://www.imdb.com/title/tt2442560/?ref_=adv_li_tt,"175,116"
