,Name,Year of release,Rating,Genre,imdb Url,votes,MovieID,Adventure,Drama,Comedy,Animation,Sci-fi,Thriller,Action,Mystery
48,Uri: The Surgical Strike,(2019),9.1,"
Action, Drama, War            ",http://www.imdb.com/title/tt8291224/?ref_=adv_li_tt,"17,031",49,0,1,0,0,0,0,1,0
49,Ocean's Eight,(2018),6.2,"
Action, Comedy, Crime            ",http://www.imdb.com/title/tt5164214/?ref_=adv_li_tt,"125,305",50,0,0,1,0,0,0,1,0
50,Sex Education,(2019– ),8.5,"
Comedy, Drama            ",http://www.imdb.com/title/tt7767422/?ref_=adv_li_tt,"32,041",51,0,1,1,0,0,0,0,0
51,Green Book,(2018),8.3,"
Biography, Comedy, Drama            ",http://www.imdb.com/title/tt6966692/?ref_=adv_li_tt,"50,378",52,0,1,1,0,0,0,0,0
52,The Favourite,(2018),7.9,"
Biography, Comedy, Drama            ",http://www.imdb.com/title/tt5083738/?ref_=adv_li_tt,"42,829",53,0,1,1,0,0,0,0,0
53,Once Upon a Time in Hollywood,(2019),,"
Comedy, Drama            ",http://www.imdb.com/title/tt7131622/?ref_=adv_li_tt,,54,0,1,1,0,0,0,0,0
54,The Orville,(2017– ),7.9,"
Adventure, Comedy, Drama            ",http://www.imdb.com/title/tt5691552/?ref_=adv_li_tt,"41,038",55,1,1,1,0,0,0,0,0
55,Vice,(I) (2018),7.1,"
Biography, Comedy, Drama            ",http://www.imdb.com/title/tt6266538/?ref_=adv_li_tt,"27,002",56,0,1,1,0,0,0,0,0
56,Grace and Frankie,(2015– ),8.3,"
Comedy            ",http://www.imdb.com/title/tt3609352/?ref_=adv_li_tt,"26,737",57,0,0,1,0,0,0,0,0
58,Shameless,(2011– ),8.7,"
Comedy, Drama            ",http://www.imdb.com/title/tt1586680/?ref_=adv_li_tt,"164,152",58,0,1,1,0,0,0,0,0
59,Russian Doll,(2019– ),8.1,"
Comedy, Drama, Mystery            ",http://www.imdb.com/title/tt7520794/?ref_=adv_li_tt,"6,887",59,0,1,1,0,0,0,0,1
61,Brooklyn Nine-Nine,(2013– ),8.4,"
Comedy, Crime            ",http://www.imdb.com/title/tt2467372/?ref_=adv_li_tt,"131,969",60,0,0,1,0,0,0,0,0
62,The Big Bang Theory,(2007– ),8.2,"
Comedy, Romance            ",http://www.imdb.com/title/tt0898266/?ref_=adv_li_tt,"630,208",61,0,0,1,0,0,0,0,0
63,The Office,(2005–2013),8.8,"
Comedy            ",http://www.imdb.com/title/tt0386676/?ref_=adv_li_tt,"281,475",62,0,0,1,0,0,0,0,0
64,The Good Place,(2016– ),8.2,"
Comedy, Drama, Fantasy            ",http://www.imdb.com/title/tt4955642/?ref_=adv_li_tt,"52,386",63,0,1,1,0,0,0,0,0
65,The Upside,(2017),6.3,"
Comedy, Drama            ",http://www.imdb.com/title/tt1987680/?ref_=adv_li_tt,"9,720",64,0,1,1,0,0,0,0,0
66,Unbreakable Kimmy Schmidt,(2015–2019),7.7,"
Comedy, Drama            ",http://www.imdb.com/title/tt3339966/?ref_=adv_li_tt,"52,856",65,0,1,1,0,0,0,0,0
67,Friends,(1994–2004),8.9,"
Comedy, Romance            ",http://www.imdb.com/title/tt0108778/?ref_=adv_li_tt,"645,623",66,0,0,1,0,0,0,0,0
68,Suits,(2011– ),8.6,"
Comedy, Drama            ",http://www.imdb.com/title/tt1632701/?ref_=adv_li_tt,"317,894",67,0,1,1,0,0,0,0,0
69,The Marvelous Mrs. Maisel,(2017– ),8.7,"
Comedy, Drama            ",http://www.imdb.com/title/tt5788792/?ref_=adv_li_tt,"37,833",68,0,1,1,0,0,0,0,0
70,Tag,(I) (2018),6.6,"
Comedy            ",http://www.imdb.com/title/tt2854926/?ref_=adv_li_tt,"69,949",69,0,0,1,0,0,0,0,0
71,Fighting with My Family,(2019),8.2,"
Biography, Comedy, Drama            ",http://www.imdb.com/title/tt6513120/?ref_=adv_li_tt,374,70,0,1,1,0,0,0,0,0
72,This Is Us,(2016– ),8.7,"
Comedy, Drama, Romance            ",http://www.imdb.com/title/tt5555260/?ref_=adv_li_tt,"71,159",71,0,1,1,0,0,0,0,0
73,Can You Ever Forgive Me?,(2018),7.3,"
Biography, Comedy, Crime            ",http://www.imdb.com/title/tt4595882/?ref_=adv_li_tt,"8,077",72,0,0,1,0,0,0,0,0
